interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
3600.00,3900.00,cross_junction_ratmalana_bus,0,1.81,0,148,AGGREGATED,40,40,0.01,131,45,0.02,772.74,2479.10,5.93,0.35,668.67,812.51,354.00
3600.00,3900.00,cross_junction_ratmalana_probe,0,0.64,0,92,AGGREGATED,14,14,0.00,95,43,0.00,376.08,853.53,11.75,0.70,218.60,373.83,66.00
3600.00,3900.00,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,
3600.00,3900.00,wellawatta_kollupitiya_probe,0,0.67,2,219,AGGREGATED,6,6,0.00,220,78,0.00,148.77,483.37,16.10,0.97,34.03,148.37,0.00
3900.00,4200.00,cross_junction_ratmalana_bus,0,5.28,0,422,AGGREGATED,55,55,0.04,413,45,0.04,673.18,7229.69,6.80,0.41,1082.73,699.01,396.00
3900.00,4200.00,cross_junction_ratmalana_probe,0,0.53,0,84,AGGREGATED,17,17,0.00,83,43,0.00,359.31,708.03,12.29,0.73,152.80,359.17,49.00
3900.00,4200.00,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,
3900.00,4200.00,wellawatta_kollupitiya_probe,0,0.98,2,278,AGGREGATED,6,6,0.00,279,78,0.00,173.79,704.10,13.78,0.83,86.73,173.69,19.00
4200.00,4500.00,cross_junction_ratmalana_bus,0,5.59,0,405,AGGREGATED,47,47,0.04,408,45,0.05,727.62,7666.98,6.29,0.38,1686.80,756.44,971.00
4200.00,4500.00,cross_junction_ratmalana_probe,0,0.52,0,76,AGGREGATED,15,15,0.00,75,43,0.00,382.92,694.22,11.54,0.69,152.40,383.32,53.00
4200.00,4500.00,wellawatta_kollupitiya_bus,,,,,,,,,,,,,,,,,,
4200.00,4500.00,wellawatta_kollupitiya_probe,0,1.27,2,354,AGGREGATED,9,9,0.00,357,78,0.00,175.41,911.08,13.65,0.82,105.52,175.20,19.00
