interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
5400.00,5700.00,cross_junction_ratmalana_bus,0,4.74,0,369,AGGREGATED,67,67,0.04,367,45,0.04,688.85,6502.41,6.65,0.40,816.60,713.82,241.00
5400.00,5700.00,cross_junction_ratmalana_probe,0,0.60,0,80,AGGREGATED,23,23,0.00,80,43,0.00,420.13,797.71,10.51,0.63,266.69,418.03,59.00
5400.00,5700.00,cross_junction_ratmalana_general,96,32.58,139,4174,AGGREGATED,1036,1036,0.25,4231,43,0.09,404.91,43131.91,10.91,0.65,14115.27,404.09,4563.00
5400.00,5700.00,wellawatta_kollupitiya_bus,0,6.40,0,706,AGGREGATED,8,8,0.02,701,76,0.02,349.56,4439.36,6.64,0.40,850.78,390.76,293.00
5400.00,5700.00,wellawatta_kollupitiya_probe,0,1.12,2,322,AGGREGATED,17,17,0.00,325,78,0.00,167.36,802.28,14.31,0.86,98.43,167.35,5.00
5400.00,5700.00,wellawatta_kollupitiya_general,130,24.63,58,7501,AGGREGATED,412,412,0.08,7409,78,0.03,163.60,17663.22,14.63,0.88,1693.99,163.67,350.00
5700.00,6000.00,cross_junction_ratmalana_bus,0,5.51,0,378,AGGREGATED,52,52,0.04,378,45,0.05,750.81,7552.58,6.10,0.36,1290.83,775.02,526.00
5700.00,6000.00,cross_junction_ratmalana_probe,0,0.70,0,89,AGGREGATED,25,25,0.01,88,43,0.00,437.73,925.44,10.09,0.60,311.64,437.21,81.00
5700.00,6000.00,cross_junction_ratmalana_general,107,33.79,118,4285,AGGREGATED,1158,1158,0.26,4305,43,0.09,418.44,44732.05,10.56,0.63,15748.64,418.19,6211.00
5700.00,6000.00,wellawatta_kollupitiya_bus,0,3.94,0,411,AGGREGATED,10,10,0.01,420,76,0.01,356.89,2729.25,6.51,0.39,510.56,400.21,222.00
5700.00,6000.00,wellawatta_kollupitiya_probe,0,0.84,2,256,AGGREGATED,16,16,0.00,260,78,0.00,162.77,604.60,14.71,0.88,93.35,163.33,18.00
5700.00,6000.00,wellawatta_kollupitiya_general,139,25.96,47,8030,AGGREGATED,394,394,0.08,7944,78,0.03,161.00,18614.04,14.87,0.89,1648.63,160.90,296.00
6000.00,6300.00,cross_junction_ratmalana_bus,0,5.03,0,359,AGGREGATED,54,54,0.04,361,45,0.04,743.60,6893.63,6.16,0.37,1150.95,770.80,433.00
6000.00,6300.00,cross_junction_ratmalana_probe,0,0.86,0,95,AGGREGATED,27,27,0.01,95,43,0.00,478.22,1139.51,9.24,0.55,481.10,480.40,110.00
6000.00,6300.00,cross_junction_ratmalana_general,104,37.73,137,4644,AGGREGATED,1103,1103,0.29,4641,43,0.10,433.72,49946.74,10.18,0.61,18702.25,433.10,6936.00
6000.00,6300.00,wellawatta_kollupitiya_bus,0,3.15,0,364,AGGREGATED,3,3,0.01,359,76,0.01,333.07,2184.74,6.97,0.42,232.63,376.37,22.00
6000.00,6300.00,wellawatta_kollupitiya_probe,0,1.07,2,330,AGGREGATED,15,15,0.00,330,78,0.00,158.47,766.77,15.11,0.91,74.57,158.42,3.00
6000.00,6300.00,wellawatta_kollupitiya_general,127,24.52,53,7472,AGGREGATED,438,438,0.08,7404,78,0.03,163.29,17583.92,14.66,0.88,1493.18,163.15,183.00
6300.00,6600.00,cross_junction_ratmalana_bus,0,4.80,0,335,AGGREGATED,47,47,0.04,333,45,0.04,752.91,6571.65,6.08,0.36,1099.72,783.26,424.00
6300.00,6600.00,cross_junction_ratmalana_probe,0,0.74,0,87,AGGREGATED,21,21,0.01,89,43,0.00,481.49,977.06,9.17,0.55,429.59,477.78,142.00
6300.00,6600.00,cross_junction_ratmalana_general,106,40.17,133,4434,AGGREGATED,1133,1133,0.30,4487,43,0.12,480.06,53180.82,9.20,0.55,22781.34,480.77,10924.90
6300.00,6600.00,wellawatta_kollupitiya_bus,0,4.50,0,451,AGGREGATED,8,8,0.01,450,76,0.01,373.90,3119.49,6.21,0.37,447.49,422.97,142.00
6300.00,6600.00,wellawatta_kollupitiya_probe,0,0.94,2,271,AGGREGATED,11,11,0.00,274,78,0.00,167.31,677.60,14.31,0.86,94.75,167.16,6.00
6300.00,6600.00,wellawatta_kollupitiya_general,108,27.35,66,8369,AGGREGATED,488,488,0.09,8319,78,0.03,164.13,19612.11,14.59,0.88,2122.98,164.20,454.00
6600.00,6900.00,cross_junction_ratmalana_bus,0,4.95,0,361,AGGREGATED,49,49,0.04,357,45,0.04,741.10,6787.00,6.18,0.37,1117.57,770.73,412.00
6600.00,6900.00,cross_junction_ratmalana_probe,0,0.65,0,78,AGGREGATED,23,23,0.00,76,43,0.00,442.13,864.19,9.99,0.60,297.04,444.54,95.00
6600.00,6900.00,cross_junction_ratmalana_general,70,38.62,145,4215,AGGREGATED,1086,1086,0.29,4267,43,0.11,491.09,51132.69,8.99,0.54,22660.65,491.79,10880.00
6600.00,6900.00,wellawatta_kollupitiya_bus,0,5.61,0,553,AGGREGATED,12,12,0.02,551,76,0.02,396.12,3886.30,5.86,0.35,560.60,454.33,178.00
6600.00,6900.00,wellawatta_kollupitiya_probe,0,0.90,2,269,AGGREGATED,13,13,0.00,269,78,0.00,168.76,641.98,14.19,0.85,67.04,168.51,1.00
6600.00,6900.00,wellawatta_kollupitiya_general,127,23.68,59,7458,AGGREGATED,444,444,0.08,7397,78,0.02,158.58,16981.44,15.10,0.91,1364.01,158.45,181.00
6900.00,7200.00,cross_junction_ratmalana_bus,0,4.37,0,300,AGGREGATED,56,56,0.03,308,45,0.04,737.67,5988.73,6.21,0.37,976.18,765.45,332.00
6900.00,7200.00,cross_junction_ratmalana_probe,0,0.82,0,82,AGGREGATED,21,21,0.01,83,43,0.00,582.56,1082.66,7.58,0.45,537.71,589.85,294.00
6900.00,7200.00,cross_junction_ratmalana_general,78,37.99,133,4060,AGGREGATED,1063,1063,0.29,4121,43,0.11,494.16,50293.89,8.94,0.53,22226.37,493.42,10389.00
6900.00,7200.00,wellawatta_kollupitiya_bus,0,4.90,0,478,AGGREGATED,13,13,0.02,479,76,0.02,381.97,3396.70,6.08,0.36,616.72,427.49,262.00
6900.00,7200.00,wellawatta_kollupitiya_probe,0,1.22,2,336,AGGREGATED,24,24,0.00,339,78,0.00,174.73,871.51,13.70,0.82,108.62,174.41,9.00
6900.00,7200.00,wellawatta_kollupitiya_general,117,25.20,48,7853,AGGREGATED,441,441,0.08,7783,78,0.03,160.36,18069.62,14.93,0.90,1575.20,160.28,275.00
7200.00,7500.00,cross_junction_ratmalana_bus,0,5.15,0,410,AGGREGATED,64,64,0.04,395,45,0.04,694.87,7059.46,6.59,0.39,979.69,721.65,303.00
7200.00,7500.00,cross_junction_ratmalana_probe,0,0.81,0,85,AGGREGATED,33,33,0.01,84,43,0.00,483.61,1074.12,9.13,0.55,421.62,487.25,144.00
7200.00,7500.00,cross_junction_ratmalana_general,112,48.22,224,5303,AGGREGATED,1348,1348,0.37,5284,43,0.13,471.94,63834.11,9.36,0.56,26749.99,471.00,13773.00
7200.00,7500.00,wellawatta_kollupitiya_bus,0,5.69,0,568,AGGREGATED,11,11,0.02,568,76,0.02,377.60,3940.99,6.15,0.37,602.11,428.09,196.00
7200.00,7500.00,wellawatta_kollupitiya_probe,0,0.73,0,212,AGGREGATED,12,12,0.00,214,78,0.00,171.33,524.55,13.98,0.84,78.27,172.09,10.00
7200.00,7500.00,wellawatta_kollupitiya_general,120,51.39,219,14843,AGGREGATED,885,885,0.16,14852,78,0.06,174.69,36854.50,13.71,0.82,5434.79,175.02,1008.00
7500.00,7800.00,cross_junction_ratmalana_bus,0,7.36,0,487,AGGREGATED,96,96,0.05,485,45,0.06,805.73,10081.14,5.68,0.34,2772.05,840.09,1301.00
7500.00,7800.00,cross_junction_ratmalana_probe,0,0.86,0,76,AGGREGATED,15,15,0.01,76,43,0.00,660.56,1134.71,6.69,0.40,693.28,667.97,357.00
7500.00,7800.00,cross_junction_ratmalana_general,165,81.88,238,6218,AGGREGATED,1781,1781,0.62,6173,43,0.23,696.25,108408.48,6.34,0.38,66000.42,701.12,37892.30
7500.00,7800.00,wellawatta_kollupitiya_bus,0,5.42,0,537,AGGREGATED,14,14,0.02,536,76,0.02,382.72,3754.84,6.07,0.36,515.45,435.36,118.00
7500.00,7800.00,wellawatta_kollupitiya_probe,0,0.06,0,18,AGGREGATED,1,1,0.00,18,78,0.00,165.48,41.37,14.47,0.87,5.96,165.12,0.00
7500.00,7800.00,wellawatta_kollupitiya_general,183,62.24,199,17549,AGGREGATED,1173,1173,0.20,17580,78,0.07,176.97,44636.43,13.53,0.81,7507.27,177.47,1373.00
7800.00,8100.00,cross_junction_ratmalana_bus,0,8.89,0,458,AGGREGATED,63,63,0.07,452,45,0.08,1039.34,12181.46,4.41,0.26,5420.18,1096.82,3048.00
7800.00,8100.00,cross_junction_ratmalana_probe,0,1.08,0,89,AGGREGATED,26,26,0.01,87,43,0.00,675.27,1426.11,6.54,0.39,897.44,688.94,393.00
7800.00,8100.00,cross_junction_ratmalana_general,170,99.58,228,6400,AGGREGATED,1624,1624,0.75,6417,43,0.27,845.73,131831.73,5.22,0.31,89447.87,857.29,49214.87
7800.00,8100.00,wellawatta_kollupitiya_bus,0,4.56,0,441,AGGREGATED,11,11,0.01,444,76,0.01,396.36,3157.57,5.86,0.35,478.92,455.40,165.00
7800.00,8100.00,wellawatta_kollupitiya_probe,0,0.55,0,145,AGGREGATED,9,9,0.00,144,78,0.00,180.70,392.00,13.25,0.79,53.70,180.78,1.00
7800.00,8100.00,wellawatta_kollupitiya_general,178,66.34,214,18533,AGGREGATED,1179,1179,0.21,18543,78,0.07,180.33,47571.69,13.28,0.80,8598.79,180.89,1549.00
8100.00,8400.00,cross_junction_ratmalana_bus,0,9.75,0,429,AGGREGATED,61,61,0.07,419,45,0.08,1197.77,13356.60,3.82,0.23,6816.54,1266.53,3124.00
8100.00,8400.00,cross_junction_ratmalana_probe,0,1.36,0,67,AGGREGATED,14,14,0.01,66,43,0.00,1120.66,1795.15,3.94,0.24,1350.00,1148.90,665.00
8100.00,8400.00,cross_junction_ratmalana_general,180,106.58,210,6418,AGGREGATED,1689,1689,0.81,6406,43,0.29,913.17,141101.16,4.84,0.29,99027.71,926.66,43894.52
8100.00,8400.00,wellawatta_kollupitiya_bus,0,4.72,0,463,AGGREGATED,12,12,0.02,459,76,0.02,378.39,3272.95,6.14,0.37,608.09,426.32,256.00
8100.00,8400.00,wellawatta_kollupitiya_probe,0,0.37,0,89,AGGREGATED,5,5,0.00,90,78,0.00,212.54,262.37,11.27,0.68,64.87,213.76,1.00
8100.00,8400.00,wellawatta_kollupitiya_general,166,67.05,201,18682,AGGREGATED,1139,1139,0.21,18727,78,0.07,179.61,48082.82,13.33,0.80,8353.90,180.07,1526.00
8400.00,8700.00,cross_junction_ratmalana_bus,0,10.16,0,418,AGGREGATED,64,64,0.08,426,45,0.09,1297.22,13917.83,3.53,0.21,7509.54,1374.64,4251.00
8400.00,8700.00,cross_junction_ratmalana_probe,0,1.61,0,73,AGGREGATED,23,23,0.01,72,43,0.01,1216.16,2136.69,3.63,0.22,1639.28,1245.65,900.00
