,interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_numEdges,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime,rand_seed
79,9300.0,9600.0,wellawatta_kollupitiya_probe,0.0,0.41,0.0,113.0,AGGREGATED,5.0,5.0,0.0,114.0,78.0,0.0,175.79,292.82,13.62,0.82,64.92,175.78,0.0,14762
80,9600.0,9900.0,cross_junction_ratmalana_bus,0.0,9.83,0.0,439.0,AGGREGATED,79.0,79.0,0.07,438.0,45.0,0.08,1157.47,13476.71,3.96,0.24,6344.46,1216.13,2534.0,14762
81,9600.0,9900.0,cross_junction_ratmalana_probe,0.0,1.29,0.0,84.0,AGGREGATED,14.0,14.0,0.01,83.0,43.0,0.0,856.04,1705.13,5.16,0.31,1200.9,866.34,272.0,14762
82,9600.0,9900.0,wellawatta_kollupitiya_bus,0.0,6.18,0.0,620.0,AGGREGATED,12.0,12.0,0.02,615.0,76.0,0.02,381.08,4285.53,6.09,0.37,977.25,425.08,458.0,14762
83,9600.0,9900.0,wellawatta_kollupitiya_probe,0.0,0.15,0.0,38.0,AGGREGATED,3.0,3.0,0.0,37.0,78.0,0.0,197.92,108.77,12.1,0.73,37.12,201.06,16.0,14762
84,9900.0,10200.0,cross_junction_ratmalana_bus,0.0,10.15,0.0,440.0,AGGREGATED,59.0,59.0,0.08,441.0,45.0,0.09,1302.5,13909.16,3.52,0.21,7484.35,1393.35,3847.0,14762
85,9900.0,10200.0,cross_junction_ratmalana_probe,0.0,1.37,0.0,64.0,AGGREGATED,16.0,16.0,0.01,65.0,43.0,0.0,1107.71,1820.38,3.99,0.24,1388.62,1132.01,420.0,14762
86,9900.0,10200.0,wellawatta_kollupitiya_bus,0.0,5.8,0.0,608.0,AGGREGATED,11.0,11.0,0.02,614.0,76.0,0.02,367.51,4017.78,6.32,0.38,810.88,420.04,283.0,14762
87,9900.0,10200.0,wellawatta_kollupitiya_probe,0.0,0.22,0.0,56.0,AGGREGATED,5.0,5.0,0.0,57.0,78.0,0.0,187.99,160.85,12.74,0.76,43.7,189.77,9.0,14762
88,10200.0,10500.0,cross_junction_ratmalana_bus,0.0,10.57,0.0,427.0,AGGREGATED,70.0,70.0,0.08,418.0,45.0,0.09,1335.34,14484.33,3.43,0.2,7930.31,1416.58,3449.0,14762
