interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
7200.00,10800.00,ed_bus_speed,0,1.04,0,51,455043472,0,0,0.52,51,0.57,9.52,485.52,14.87,0.89,52.37,8.70,0.00
7200.00,10800.00,ed_bus_speed,0,1.31,0,51,455043517,0,0,0.66,51,0.56,2.67,136.18,15.27,0.92,11.42,1.88,0.00
7200.00,10800.00,ed_bus_speed,0,1.03,0,52,455043526,1,1,0.34,51,0.37,7.64,389.96,15.31,0.92,31.76,6.85,0.00
7200.00,10800.00,ed_bus_speed,0,2.53,0,72,48701240#1,0,0,1.26,73,0.92,2.06,149.30,13.83,0.83,25.47,1.22,8.00
7200.00,10800.00,ed_bus_speed,0,6.17,0,76,48701240#11,11,11,3.08,76,3.57,59.31,4504.69,3.62,0.22,3525.69,56.77,1101.00
7200.00,10800.00,ed_bus_speed,0,11.10,0,76,48701240#15,0,0,5.55,76,5.86,26.12,1985.20,2.36,0.14,1703.95,23.02,682.00
7200.00,10800.00,ed_bus_speed,0,14.32,0,76,48701240#16,0,0,7.16,76,7.87,72.46,5503.20,1.64,0.10,4962.24,63.07,1105.00
7200.00,10800.00,ed_bus_speed,0,18.96,0,74,48701240#17.68,0,0,9.48,72,10.48,158.68,11601.12,1.15,0.07,10803.24,145.05,4365.00
7200.00,10800.00,ed_bus_speed,0,4.03,0,73,48701240#4,9,9,2.01,75,2.32,23.41,1730.85,5.61,0.34,397.04,22.63,31.00
7200.00,10800.00,ed_bus_speed,0,1.52,0,75,48701240#6,5,5,0.76,75,0.84,9.77,731.72,14.88,0.89,78.71,8.93,0.00
7200.00,10800.00,ed_bus_speed,0,5.28,0,75,48701240#9,21,21,2.64,76,3.05,26.50,1999.72,4.42,0.27,679.18,25.39,192.00
7200.00,10800.00,ed_bus_speed,0,39.39,0,71,50071260#3,0,0,19.70,71,8.63,11.24,798.37,1.57,0.09,723.28,8.96,491.00
7200.00,10800.00,ed_bus_speed,0,24.37,0,72,50071260#4,0,0,12.18,71,10.23,14.29,1021.18,1.65,0.10,919.86,10.92,540.00
7200.00,10800.00,ed_bus_speed,0,13.24,0,73,50071266#1,0,0,6.62,72,7.10,53.36,3850.25,1.74,0.10,3448.67,48.50,714.00
7200.00,10800.00,ed_bus_speed,0,10.35,0,71,50071266#10,0,0,5.18,71,4.90,19.30,1369.34,2.53,0.15,1161.85,15.32,216.00
7200.00,10800.00,ed_bus_speed,0,8.53,0,70,50071266#11,2,2,4.27,72,5.01,124.83,8984.35,2.44,0.15,6283.45,123.25,793.00
7200.00,10800.00,ed_bus_speed,0,4.54,0,72,50071266#18,0,0,2.27,72,2.42,14.12,1016.46,5.25,0.32,696.06,12.50,146.00
7200.00,10800.00,ed_bus_speed,0,3.81,0,72,50071266#20,3,3,1.90,72,1.69,6.59,474.33,7.07,0.42,273.06,5.11,76.00
7200.00,10800.00,ed_bus_speed,0,5.01,0,72,50071266#21,3,3,2.50,73,1.98,7.38,536.98,5.66,0.34,352.01,4.60,167.00
7200.00,10800.00,ed_bus_speed,0,4.33,0,70,50071266#22,11,11,2.17,70,2.21,12.66,885.25,5.43,0.33,596.87,11.05,217.00
7200.00,10800.00,ed_bus_speed,0,5.14,0,70,50071266#24,13,13,2.57,70,2.78,16.65,1163.74,4.50,0.27,849.87,14.87,345.00
7200.00,10800.00,ed_bus_speed,0,12.08,0,72,50071266#3,0,0,6.04,73,6.93,119.88,8726.57,1.77,0.11,7797.84,114.85,1261.00
7200.00,10800.00,ed_bus_speed,0,11.80,0,72,50071266#7,1,1,5.90,71,6.79,105.02,7506.74,1.80,0.11,6032.46,102.01,1025.00
7200.00,10800.00,ed_bus_speed,0,1.39,18,0,51086283#3,0,0,0.70,19,0.79,182.79,3250.16,3.61,0.22,2546.52,163.67,1900.00
7200.00,10800.00,ed_bus_speed,0,0.66,0,6,668326453#5,1,1,0.22,6,0.06,1.36,8.16,11.36,0.82,1.49,0.32,0.00
7200.00,10800.00,ed_bus_speed,0,1.43,0,73,758636097#0,3,3,0.71,73,0.81,16.29,1189.07,14.94,0.90,123.24,15.41,0.00
7200.00,10800.00,ed_bus_speed,0,1.71,0,71,758636097#10,4,4,0.85,72,0.84,5.10,364.07,13.97,0.84,58.96,4.32,0.00
7200.00,10800.00,ed_bus_speed,0,1.53,0,72,758636097#11,5,5,0.77,72,0.83,8.77,631.12,14.41,0.86,85.62,7.84,10.00
7200.00,10800.00,ed_bus_speed,0,6.61,0,72,758636097#12,10,10,3.31,74,3.81,27.92,2038.00,3.50,0.21,582.78,26.61,64.00
7200.00,10800.00,ed_bus_speed,0,2.12,0,75,758636097#14,2,2,1.06,75,0.98,3.77,282.90,13.01,0.78,62.12,2.93,6.00
7200.00,10800.00,ed_bus_speed,0,1.46,0,75,758636097#15,0,0,0.73,75,0.83,14.22,1066.76,15.12,0.91,98.96,13.41,0.00
7200.00,10800.00,ed_bus_speed,0,2.17,0,75,758636097#22,0,0,1.08,75,0.86,2.43,181.92,14.56,0.87,23.06,1.61,0.00
7200.00,10800.00,ed_bus_speed,0,1.52,0,75,758636097#23,6,6,0.76,75,0.86,13.59,1019.21,14.57,0.87,126.45,12.71,0.00
7200.00,10800.00,ed_bus_speed,0,2.81,0,73,758636097#25,20,20,1.40,71,1.67,86.30,6153.94,7.20,0.43,1411.75,85.31,206.00
7200.00,10800.00,ed_bus_speed,0,3.32,0,72,758636097#3,40,40,1.66,71,1.96,63.75,4538.74,6.14,0.37,1040.09,62.42,102.00
7200.00,10800.00,ed_bus_speed,0,5.90,0,99,CR_MP_001,98,98,1.97,98,2.32,45.98,4534.29,4.90,0.29,1384.64,45.19,357.00
7200.00,10800.00,ed_bus_speed,0,4.63,0,98,CR_MP_002,0,0,1.54,98,0.71,1.27,124.89,15.29,0.92,10.31,0.49,0.00
7200.00,10800.00,ed_bus_speed,0,3.41,0,98,CR_MP_003,0,0,1.14,98,0.75,1.77,172.98,14.78,0.89,19.66,0.95,0.00
7200.00,10800.00,ed_bus_speed,0,2.51,0,98,CR_MP_004,1,1,0.84,98,0.78,3.62,354.79,14.14,0.85,53.77,2.76,3.00
7200.00,10800.00,ed_bus_speed,0,4.60,0,98,CR_MP_005,35,35,1.53,97,1.79,29.73,2889.23,6.28,0.38,744.40,28.88,126.00
7200.00,10800.00,ed_bus_speed,0,3.15,0,98,CR_MP_006,6,6,1.05,98,0.79,2.26,221.54,13.94,0.84,36.29,1.41,0.00
7200.00,10800.00,ed_bus_speed,0,2.08,0,98,CR_MP_007,3,3,0.69,98,0.76,9.24,905.33,14.38,0.86,124.21,8.33,0.00
7200.00,10800.00,ed_bus_speed,0,3.49,0,98,CR_MP_008,0,0,1.16,97,1.19,6.11,594.82,9.70,0.58,248.63,5.11,116.00
7200.00,10800.00,ed_bus_speed,0,13.24,0,96,CR_MP_009,22,22,4.41,96,5.09,30.18,2893.11,2.41,0.14,808.28,28.77,115.00
7200.00,10800.00,ed_bus_speed,0,2.83,0,96,CR_MP_010,11,11,0.94,96,0.94,5.93,568.86,11.45,0.69,178.18,5.07,10.00
7200.00,10800.00,ed_bus_speed,0,2.51,0,96,CR_MP_011,2,2,0.84,96,0.72,2.92,280.45,14.75,0.88,32.30,2.11,0.00
7200.00,10800.00,ed_bus_speed,0,3.01,0,97,CR_MP_012,38,38,1.00,96,1.18,48.82,4694.04,9.11,0.55,888.57,47.90,68.00
7200.00,10800.00,ed_bus_speed,0,2.15,0,96,CR_MP_013,3,3,0.72,95,0.78,9.93,946.50,13.54,0.81,177.89,9.03,19.00
7200.00,10800.00,ed_bus_speed,0,7.92,0,95,CR_MP_014,11,11,2.64,94,3.08,35.76,3382.07,3.65,0.22,1011.45,34.67,121.00
7200.00,10800.00,ed_bus_speed,0,2.88,0,94,CR_MP_015,4,4,0.96,94,0.86,3.80,355.96,12.18,0.73,95.88,2.88,1.00
7200.00,10800.00,ed_bus_speed,0,3.06,0,94,CR_MP_016,4,4,1.02,93,0.90,3.67,342.58,11.75,0.70,101.14,2.77,18.00
7200.00,10800.00,ed_bus_speed,0,5.27,0,93,CR_MP_017,2,2,1.76,91,2.02,31.12,2842.11,5.20,0.31,1955.79,29.85,997.00
7200.00,10800.00,ed_bus_speed,0,5.49,0,91,CR_MP_018,0,0,1.83,91,1.62,8.07,734.57,6.09,0.37,466.27,5.31,168.00
7200.00,10800.00,ed_bus_speed,0,0.15,0,3,CR_MP_020,3,3,0.05,3,0.04,4.71,14.14,8.08,0.48,7.29,3.27,0.00
7200.00,10800.00,ed_bus_speed,0,1.93,0,96,CR_MP_021,4,4,0.64,96,0.70,9.69,930.54,15.09,0.90,88.48,8.91,0.00
7200.00,10800.00,ed_bus_speed,0,12.58,0,96,CR_MP_022,27,27,4.19,93,4.95,57.44,5466.20,2.31,0.14,3514.85,56.03,2512.00
7200.00,10800.00,ed_bus_speed,0,12.80,0,96,CR_MP_023,11,11,4.27,89,5.01,57.03,5291.89,2.22,0.13,4585.79,55.65,3686.00
7200.00,10800.00,ed_bus_speed,0,25.57,0,89,CR_MP_024,15,15,8.52,81,10.15,212.99,17863.87,0.97,0.06,15378.16,210.75,11859.00
7200.00,10800.00,ed_bus_speed,0,31.65,0,81,CR_MP_025,16,16,10.55,75,12.53,214.52,16655.93,0.74,0.04,15919.14,211.35,13283.00
7200.00,10800.00,ed_bus_speed,0,27.56,0,75,CR_MP_026,16,16,9.19,68,10.87,244.66,17147.41,0.76,0.05,15277.30,241.22,10705.00
7200.00,10800.00,ed_bus_speed,0,31.33,0,68,CR_MP_027,10,10,10.44,65,12.33,254.73,16888.42,0.63,0.04,16245.20,250.84,10935.00
7200.00,10800.00,ed_bus_speed,0,33.71,0,65,CR_MP_028,0,0,11.24,66,12.91,103.45,6744.26,0.65,0.04,6480.01,100.63,4620.00
7200.00,10800.00,ed_bus_speed,0,35.72,0,66,CR_MP_029,0,0,11.91,67,11.86,47.25,3150.92,0.77,0.05,3004.89,40.87,2125.00
7200.00,10800.00,ed_bus_speed,0,45.22,0,68,CR_MP_030,0,0,15.07,69,14.13,65.90,4519.49,0.60,0.04,3267.01,53.78,2105.00
7200.00,10800.00,ed_bus_speed,0,118.28,0,69,CR_MP_031,0,0,39.43,71,9.00,19.33,1366.90,0.79,0.05,1302.37,16.22,986.00
7200.00,10800.00,ed_bus_speed,0,22.81,0,71,CR_MP_032,1,1,7.60,70,7.79,33.11,2322.20,1.22,0.07,2152.75,28.94,1165.00
7200.00,10800.00,ed_bus_speed,0,20.58,0,70,CR_MP_033,0,0,6.86,70,7.24,51.94,3630.22,1.17,0.07,3374.44,47.26,1495.00
7200.00,10800.00,ed_bus_speed,0,18.62,0,70,CR_MP_034,0,0,6.21,69,6.71,67.00,4679.07,1.22,0.07,4336.36,61.05,1496.00
7200.00,10800.00,ed_bus_speed,0,15.98,0,70,CR_MP_035,4,4,5.33,73,6.27,278.88,19674.68,1.27,0.08,17315.78,275.45,3789.00
7200.00,10800.00,ed_bus_speed,0,16.27,0,72,CR_MP_036,1,1,5.42,73,4.77,21.53,1566.97,1.80,0.11,1397.71,16.00,263.00
7200.00,10800.00,ed_bus_speed,0,14.64,0,74,CR_MP_037,1,1,4.88,77,5.70,215.62,16263.03,1.49,0.09,13586.11,212.18,1993.00
7200.00,10800.00,ed_bus_speed,0,11.01,0,77,CR_MP_038,2,2,3.67,77,4.27,161.03,12243.83,1.99,0.12,10780.77,156.98,1018.00
7200.00,10800.00,ed_bus_speed,0,9.74,0,77,CR_MP_039,3,3,3.25,77,3.62,50.75,3914.74,2.44,0.15,3342.33,47.57,518.00
7200.00,10800.00,ed_bus_speed,0,9.12,0,77,CR_MP_040,12,12,3.04,78,3.41,46.44,3593.68,2.62,0.16,2208.66,44.39,413.00
7200.00,10800.00,ed_bus_speed,0,5.25,0,78,CR_MP_041,8,8,1.75,78,1.65,13.80,1076.28,5.00,0.30,753.70,11.00,201.00
7200.00,10800.00,ed_bus_speed,0,5.43,0,78,CR_MP_042,75,75,1.36,78,1.36,14.52,1132.62,4.82,0.29,805.46,11.03,329.00
7200.00,10800.00,ed_bus_speed,0,0.25,0,4,CR_MP_043,1,1,0.06,4,0.05,5.46,21.82,6.70,0.40,10.25,3.82,0.00
7200.00,10800.00,ed_bus_speed,0,11.09,0,91,CR_MP_KATU_BUS_JUMP,0,0,11.09,93,12.83,37.35,3429.66,2.62,0.16,1033.53,36.27,219.00
7200.00,10800.00,ed_bus_speed,0,10.04,0,74,CR_MP_RATH_BUS_JUMP,0,0,10.04,72,11.64,34.18,2496.96,2.37,0.14,715.83,32.90,117.00
7200.00,10800.00,ed_bus_speed,0,1.47,0,66,WK_MP_001,0,0,0.37,67,0.37,4.64,309.71,15.17,0.91,27.85,3.85,0.00
7200.00,10800.00,ed_bus_speed,0,1.92,0,67,WK_MP_002,0,0,0.48,67,0.37,2.23,149.17,15.10,0.91,14.05,1.43,0.00
7200.00,10800.00,ed_bus_speed,0,1.67,0,66,WK_MP_003,0,0,0.42,66,0.38,3.45,227.69,14.44,0.87,30.45,2.61,0.00
7200.00,10800.00,ed_bus_speed,0,3.72,0,66,WK_MP_004,0,0,0.93,66,0.38,1.25,81.93,14.49,0.87,10.74,0.42,0.00
7200.00,10800.00,ed_bus_speed,0,10.78,0,65,WK_MP_005,9,9,2.69,64,3.04,22.83,1469.35,2.18,0.13,394.90,20.35,75.00
7200.00,10800.00,ed_bus_speed,0,1.65,0,64,WK_MP_006,1,1,0.41,64,0.39,4.51,288.18,13.42,0.80,56.26,3.73,0.00
7200.00,10800.00,ed_bus_speed,0,1.52,0,64,WK_MP_007,2,2,0.38,64,0.35,3.22,205.95,15.40,0.92,15.74,2.45,0.00
7200.00,10800.00,ed_bus_speed,0,1.60,0,64,WK_MP_008,1,1,0.40,64,0.35,2.86,183.06,15.29,0.92,15.13,2.08,0.00
7200.00,10800.00,ed_bus_speed,0,3.08,0,64,WK_MP_009,10,10,0.77,64,0.88,19.27,1233.20,6.39,0.38,232.64,18.19,20.00
7200.00,10800.00,ed_bus_speed,0,1.75,0,64,WK_MP_010,4,4,0.44,64,0.38,3.25,207.10,13.82,0.83,35.43,2.45,0.00
7200.00,10800.00,ed_bus_speed,0,2.01,0,64,WK_MP_011,0,0,0.50,64,0.34,1.81,115.08,15.43,0.93,8.54,1.04,0.00
7200.00,10800.00,ed_bus_speed,0,2.31,0,64,WK_MP_012,1,1,0.58,64,0.35,1.55,98.95,15.46,0.93,7.15,0.77,0.00
7200.00,10800.00,ed_bus_speed,0,1.90,0,64,WK_MP_013,3,3,0.48,64,0.35,1.99,127.52,15.40,0.92,9.74,1.21,0.00
7200.00,10800.00,ed_bus_speed,0,2.30,0,65,WK_MP_014,5,5,0.57,65,0.61,9.13,592.60,9.17,0.55,266.79,7.79,103.00
7200.00,10800.00,ed_bus_speed,0,11.23,0,65,WK_MP_015,1,1,2.81,65,1.83,6.39,409.64,3.46,0.21,324.54,4.88,202.00
7200.00,10800.00,ed_bus_speed,0,2.00,0,65,WK_MP_016,4,4,0.50,65,0.43,3.41,220.48,12.51,0.75,55.08,2.53,0.00
7200.00,10800.00,ed_bus_speed,0,1.89,0,65,WK_MP_017,2,2,0.47,65,0.37,2.39,154.33,14.55,0.87,19.66,1.57,0.00
7200.00,10800.00,ed_bus_speed,0,2.01,0,65,WK_MP_018,0,0,0.50,65,0.39,2.33,151.15,14.09,0.85,23.40,1.46,0.00
7200.00,10800.00,ed_bus_speed,0,1.60,0,64,WK_MP_019,0,0,0.40,64,0.37,3.73,238.97,14.35,0.86,33.23,2.89,0.00
7200.00,10800.00,ed_bus_speed,0,2.59,0,64,WK_MP_020,0,0,0.65,63,0.38,1.71,108.19,13.81,0.83,18.54,0.84,0.00
7200.00,10800.00,ed_bus_speed,0,2.06,0,63,WK_MP_021,0,0,0.52,63,0.54,7.85,494.41,10.00,0.60,197.70,6.69,63.00
7200.00,10800.00,ed_bus_speed,0,12.69,0,63,WK_MP_022,3,3,3.17,65,3.63,29.56,1892.22,1.81,0.11,526.23,27.93,61.00
7200.00,10800.00,ed_bus_speed,0,2.50,0,65,WK_MP_023,0,0,0.63,65,0.45,2.53,164.23,11.94,0.72,46.61,1.62,0.00
7200.00,10800.00,ed_bus_speed,0,3.47,0,65,WK_MP_024,1,1,0.87,65,0.36,1.23,79.24,14.93,0.90,8.29,0.44,0.00
7200.00,10800.00,ed_bus_speed,0,1.71,0,65,WK_MP_025,0,0,0.43,65,0.35,2.41,156.75,15.54,0.93,10.61,1.64,0.00
7200.00,10800.00,ed_bus_speed,0,1.84,0,65,WK_MP_026,0,0,0.46,65,0.36,2.20,143.11,15.24,0.91,12.25,1.41,0.00
7200.00,10800.00,ed_bus_speed,0,2.83,0,65,WK_MP_027,0,0,0.71,65,0.36,1.41,91.77,14.89,0.89,9.80,0.61,0.00
7200.00,10800.00,ed_bus_speed,0,2.78,0,65,WK_MP_028,0,0,0.70,65,0.36,1.40,90.59,15.03,0.90,8.89,0.60,0.00
7200.00,10800.00,ed_bus_speed,0,4.35,0,64,WK_MP_029,0,0,1.09,64,0.36,1.11,71.04,14.90,0.89,7.54,0.30,0.00
7200.00,10800.00,ed_bus_speed,0,3.21,0,64,WK_MP_030,0,0,0.80,64,0.36,1.28,81.81,14.93,0.90,8.56,0.48,0.00
7200.00,10800.00,ed_bus_speed,0,3.89,0,64,WK_MP_031,0,0,0.97,64,0.36,1.17,74.85,14.83,0.89,8.27,0.36,0.00
7200.00,10800.00,ed_bus_speed,0,1.77,0,64,WK_MP_032,0,0,0.44,64,0.37,2.63,168.21,14.61,0.88,20.78,1.80,0.00
7200.00,10800.00,ed_bus_speed,0,2.30,0,64,WK_MP_033,0,0,0.57,64,0.37,1.84,118.06,14.24,0.85,17.24,1.00,0.00
7200.00,10800.00,ed_bus_speed,0,6.44,0,64,WK_MP_034,2,2,1.61,64,1.88,36.70,2348.50,3.09,0.19,646.92,35.37,53.00
7200.00,10800.00,ed_bus_speed,0,3.88,0,64,WK_MP_035,0,0,0.97,64,0.46,1.72,109.83,11.57,0.69,33.58,0.73,0.00
7200.00,10800.00,ed_bus_speed,0,1.51,0,64,WK_MP_036,2,2,0.38,64,0.37,5.05,322.93,14.18,0.85,48.23,4.19,4.00
7200.00,10800.00,ed_bus_speed,0,2.05,0,63,WK_MP_037,0,0,0.51,62,0.50,5.01,314.31,10.91,0.65,108.68,3.91,19.00
7200.00,10800.00,ed_bus_speed,0,3.35,0,62,WK_MP_038,0,0,0.84,62,0.76,5.19,321.80,7.46,0.45,177.82,4.00,48.00
7200.00,10800.00,ed_bus_speed,0,2.88,0,62,WK_MP_039,0,0,0.72,62,0.38,1.62,100.40,13.39,0.80,19.73,0.73,0.00
7200.00,10800.00,ed_bus_speed,0,1.73,0,62,WK_MP_040,0,0,0.43,61,0.39,3.62,221.36,13.13,0.79,46.95,2.72,0.00
7200.00,10800.00,ed_bus_speed,0,3.19,0,61,WK_MP_041,0,0,0.80,61,0.58,3.19,194.83,9.07,0.54,88.82,1.72,18.00
7200.00,10800.00,ed_bus_speed,0,4.77,0,61,WK_MP_042,0,0,1.19,62,1.21,9.52,583.40,4.83,0.29,414.51,7.95,167.00
7200.00,10800.00,ed_bus_speed,0,30.80,0,62,WK_MP_043,0,0,7.70,63,8.48,25.63,1596.93,1.03,0.06,450.35,22.60,20.00
7200.00,10800.00,ed_bus_speed,0,5.50,0,63,WK_MP_044,0,0,1.38,63,0.75,2.92,182.88,7.28,0.44,103.03,1.56,14.00
7200.00,10800.00,ed_bus_speed,0,1.96,0,63,WK_MP_045,4,4,0.49,63,0.53,10.09,635.54,10.12,0.61,249.60,9.06,51.00
7200.00,10800.00,ed_bus_speed,0,2.83,0,63,WK_MP_046,0,0,0.71,63,0.70,8.88,559.44,7.52,0.45,304.34,7.21,1.00
7200.00,10800.00,ed_bus_speed,0,4.08,0,61,WK_MP_047,0,0,1.02,60,1.14,38.17,2322.43,4.45,0.27,1702.02,35.01,311.00
7200.00,10800.00,ed_bus_speed,0,12.93,0,60,WK_MP_048,0,0,3.23,61,3.59,31.36,1896.43,1.68,0.10,639.20,29.76,80.00
7200.00,10800.00,ed_bus_speed,0,3.35,0,61,WK_MP_049,0,0,0.84,61,0.77,5.01,305.39,7.45,0.45,168.94,3.85,62.00
7200.00,10800.00,ed_bus_speed,0,3.56,0,61,WK_MP_050,0,0,0.89,61,0.56,2.46,150.02,9.64,0.58,63.30,1.43,18.00
7200.00,10800.00,ed_bus_speed,0,4.23,0,61,WK_MP_051,0,0,1.06,60,0.94,5.62,338.19,6.09,0.37,214.67,4.04,94.00
7200.00,10800.00,ed_bus_speed,0,4.80,0,60,WK_MP_052,0,0,1.20,60,1.19,9.46,568.74,4.75,0.28,406.77,7.93,141.00
7200.00,10800.00,ed_bus_speed,0,5.35,0,60,WK_MP_053,0,0,1.34,60,0.88,3.38,202.86,6.67,0.40,121.73,2.06,40.00
7200.00,10800.00,ed_bus_speed,0,4.03,0,60,WK_MP_054,0,0,1.01,60,0.79,3.60,215.99,7.47,0.45,119.21,2.32,34.00
7200.00,10800.00,ed_bus_speed,0,10.24,0,60,WK_MP_055,0,0,2.56,60,1.14,3.77,226.42,4.81,0.29,161.13,1.97,72.00
7200.00,10800.00,ed_bus_speed,0,22.63,0,60,WK_MP_056,0,0,5.66,60,6.29,28.98,1739.00,1.15,0.07,491.08,26.24,61.00
7200.00,10800.00,ed_bus_speed,0,6.82,0,60,WK_MP_057,0,0,1.71,60,0.62,2.16,129.46,8.00,0.48,67.30,0.78,0.00
7200.00,10800.00,ed_bus_speed,0,3.58,0,60,WK_MP_058,0,0,0.89,60,0.47,2.04,122.62,10.53,0.63,45.16,0.96,0.00
7200.00,10800.00,ed_bus_speed,0,2.91,0,60,WK_MP_059,0,0,0.73,59,0.56,3.09,183.84,9.57,0.57,78.26,1.94,19.00
7200.00,10800.00,ed_bus_speed,0,3.34,0,59,WK_MP_060,0,0,0.83,59,0.88,11.01,649.58,6.00,0.36,415.66,9.64,108.00
7200.00,10800.00,ed_bus_speed,0,3.97,0,59,WK_MP_061,0,0,0.99,59,0.59,3.40,200.38,7.66,0.46,108.32,1.63,7.00
7200.00,10800.00,ed_bus_speed,0,3.98,0,59,WK_MP_062,0,0,0.99,59,1.01,10.56,623.18,5.26,0.32,426.64,9.12,98.00
7200.00,10800.00,ed_bus_speed,0,29.49,0,59,WK_MP_063,0,0,7.37,58,8.12,25.97,1517.95,1.01,0.06,383.83,23.31,29.00
7200.00,10800.00,ed_bus_speed,0,3.12,0,58,WK_MP_064,0,0,0.78,58,0.51,2.84,164.72,9.38,0.56,72.00,1.71,0.00
7200.00,10800.00,ed_bus_speed,0,4.11,0,58,WK_MP_065,0,0,1.03,58,0.43,1.63,94.48,11.28,0.68,30.53,0.57,0.00
7200.00,10800.00,ed_bus_speed,0,1.86,0,58,WK_MP_066,0,0,0.46,58,0.41,3.76,218.18,11.87,0.71,62.80,2.74,1.00
7200.00,10800.00,ed_bus_speed,0,2.35,0,58,WK_MP_067,0,0,0.59,58,0.51,4.32,250.49,9.65,0.58,105.54,3.20,8.00
7200.00,10800.00,ed_bus_speed,0,2.92,0,58,WK_MP_068,0,0,0.73,58,0.41,1.95,112.83,11.69,0.70,33.67,0.91,0.00
7200.00,10800.00,ed_bus_speed,0,5.79,0,58,WK_MP_069,0,0,1.45,58,0.51,1.78,103.02,9.54,0.57,44.08,0.52,0.00
7200.00,10800.00,ed_bus_speed,0,2.24,0,58,WK_MP_070,0,0,0.56,57,0.60,15.04,857.85,7.88,0.47,452.46,13.36,9.00
7200.00,10800.00,ed_bus_speed,0,6.22,0,57,WK_MP_071,0,0,1.55,57,0.62,2.37,134.94,7.62,0.46,73.29,0.90,0.00
7200.00,10800.00,ed_bus_speed,0,3.68,0,57,WK_MP_072,0,0,0.92,57,0.76,4.69,266.29,6.84,0.41,156.98,3.25,10.00
7200.00,10800.00,ed_bus_speed,0,3.02,0,57,WK_MP_073,0,0,0.76,57,0.68,5.10,290.77,7.59,0.46,158.34,3.79,30.00
7200.00,10800.00,ed_bus_speed,0,3.43,0,57,WK_MP_074,0,0,0.86,57,0.86,8.87,505.50,5.97,0.36,324.59,7.29,70.00
7200.00,10800.00,ed_bus_speed,0,4.59,0,57,WK_MP_075,0,0,1.15,57,1.03,6.38,363.54,5.33,0.32,247.35,4.57,102.00
7200.00,10800.00,ed_bus_speed,0,6.94,0,57,WK_MP_076,0,0,1.73,57,0.59,2.08,118.37,8.06,0.48,61.13,0.88,18.00
7200.00,10800.00,ed_bus_speed,0,14.93,0,57,WK_MP_077,0,0,3.73,58,4.23,27.48,1573.35,1.50,0.09,380.66,25.23,23.00
7200.00,10800.00,ed_bus_speed,0,1.87,0,58,WK_MP_078,11,11,0.47,58,0.50,11.15,646.71,9.67,0.58,271.57,10.20,85.00
7200.00,10800.00,ed_bus_speed,0,14.99,0,71,gneE40,1,1,7.49,73,8.65,94.96,6865.94,1.47,0.09,4894.12,92.30,1812.00
7200.00,10800.00,ed_bus_speed,0,0.79,4,0,gneE5,4,4,0.39,3,0.47,417.16,1281.23,1.11,0.08,1177.25,415.49,773.00
