interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
3600.00,7200.00,ed_bus_speed,0,12.15,0,85,CR_MP_RATH_BUS_JUMP,0,0,12.15,88,14.04,34.83,3022.05,2.33,0.14,958.17,33.71,223.00
3600.00,7200.00,ed_bus_speed,0,1.48,0,68,WK_MP_001,0,0,0.37,67,0.37,4.63,310.91,15.20,0.91,27.47,3.85,0.00
3600.00,7200.00,ed_bus_speed,0,1.97,0,67,WK_MP_002,0,0,0.49,67,0.38,2.29,153.63,14.66,0.88,18.50,1.45,0.00
3600.00,7200.00,ed_bus_speed,0,1.98,0,67,WK_MP_003,2,2,0.49,67,0.47,4.02,269.15,12.38,0.74,69.29,3.12,21.00
3600.00,7200.00,ed_bus_speed,0,4.25,0,67,WK_MP_004,0,0,1.06,67,0.44,1.40,93.47,12.90,0.77,21.13,0.53,2.00
3600.00,7200.00,ed_bus_speed,0,10.99,0,67,WK_MP_005,9,9,2.75,67,3.10,22.42,1498.47,2.22,0.13,389.56,20.19,74.00
3600.00,7200.00,ed_bus_speed,0,1.72,0,67,WK_MP_006,2,2,0.43,67,0.41,4.48,300.33,13.51,0.81,56.97,3.71,0.00
3600.00,7200.00,ed_bus_speed,0,1.58,0,67,WK_MP_007,2,2,0.39,67,0.36,3.19,213.55,15.56,0.93,14.20,2.42,0.00
3600.00,7200.00,ed_bus_speed,0,1.65,0,67,WK_MP_008,0,0,0.41,67,0.36,2.81,188.27,15.57,0.93,12.47,2.04,0.00
3600.00,7200.00,ed_bus_speed,0,3.36,0,67,WK_MP_009,9,9,0.84,68,0.96,20.00,1343.66,6.16,0.37,240.55,18.89,8.00
3600.00,7200.00,ed_bus_speed,0,1.89,0,68,WK_MP_010,3,3,0.47,68,0.41,3.29,223.45,13.61,0.82,40.98,2.49,0.00
3600.00,7200.00,ed_bus_speed,0,2.18,0,68,WK_MP_011,2,2,0.54,68,0.37,1.83,124.74,15.22,0.91,10.85,1.04,0.00
3600.00,7200.00,ed_bus_speed,0,2.49,0,68,WK_MP_012,0,0,0.62,68,0.37,1.57,106.94,15.20,0.91,9.40,0.78,0.00
3600.00,7200.00,ed_bus_speed,0,2.05,0,68,WK_MP_013,5,5,0.51,68,0.38,2.03,137.24,15.07,0.90,13.19,1.23,0.00
3600.00,7200.00,ed_bus_speed,0,2.56,0,67,WK_MP_014,6,6,0.64,67,0.69,9.88,661.65,8.48,0.51,325.20,8.48,143.00
3600.00,7200.00,ed_bus_speed,0,8.75,0,67,WK_MP_015,2,2,2.19,67,1.52,4.83,319.13,4.58,0.28,231.37,3.46,127.00
3600.00,7200.00,ed_bus_speed,0,2.08,0,67,WK_MP_016,4,4,0.52,67,0.45,3.42,229.07,12.46,0.75,57.83,2.52,0.00
3600.00,7200.00,ed_bus_speed,0,2.05,0,67,WK_MP_017,1,1,0.51,67,0.40,2.50,167.31,13.88,0.83,28.00,1.64,0.00
3600.00,7200.00,ed_bus_speed,0,2.26,0,67,WK_MP_018,2,2,0.56,67,0.44,2.53,169.38,12.99,0.78,37.39,1.61,0.00
3600.00,7200.00,ed_bus_speed,0,1.69,0,67,WK_MP_019,0,0,0.42,67,0.39,3.79,253.75,14.15,0.85,38.36,2.94,0.00
3600.00,7200.00,ed_bus_speed,0,2.71,0,67,WK_MP_020,0,0,0.68,67,0.40,1.68,112.89,14.00,0.84,18.08,0.83,0.00
3600.00,7200.00,ed_bus_speed,0,2.91,0,67,WK_MP_021,0,0,0.73,67,0.77,10.38,695.78,7.56,0.45,380.23,8.75,143.00
3600.00,7200.00,ed_bus_speed,0,14.06,0,67,WK_MP_022,0,0,3.51,66,3.97,31.59,2095.83,1.69,0.10,652.30,29.84,104.00
3600.00,7200.00,ed_bus_speed,0,2.51,0,66,WK_MP_023,0,0,0.63,66,0.45,2.49,164.59,12.12,0.73,44.90,1.60,0.00
3600.00,7200.00,ed_bus_speed,0,3.56,0,66,WK_MP_024,0,0,0.89,66,0.37,1.23,81.24,14.90,0.89,8.63,0.43,0.00
3600.00,7200.00,ed_bus_speed,0,1.75,0,66,WK_MP_025,0,0,0.44,67,0.36,2.42,160.90,15.51,0.93,11.22,1.64,0.00
3600.00,7200.00,ed_bus_speed,0,1.89,0,67,WK_MP_026,0,0,0.47,67,0.36,2.19,146.72,15.33,0.92,11.84,1.40,0.00
3600.00,7200.00,ed_bus_speed,0,2.88,0,67,WK_MP_027,0,0,0.72,67,0.37,1.40,93.49,15.06,0.90,9.00,0.60,0.00
